DESCRIPTION,DATE,AMOUNT,TRANSACTION TYPE,Merchant,Signed Amount,YEAR,Month,Day,reference_number_improved,Category
dear upi user ac x5904 debited 10.0 date 02jun25 trf diwan chand refno 515394903435. u call 1800111109. sbi,2025-02-06,10.0,debited,diwan chand,-10.0,2025,2,6,515394903435,Personal & Others
"getepay requested rs31720 frm u google pay app. approved, money debited frm ur ac sbi",2025-01-01,31720.0,debited,getepay,-31720.0,2025,1,1,,Financial
"dear sbi user, ac x5904credited rs.180 18jul25 transfer rohit kumar ref 519961126008 sbi",2025-07-18,180.0,credited,rohit kumar,180.0,2025,7,18,519961126008,Personal & Others
dear upi user ac x5904 debited 900.0 date 23jul25 trf sidarth sharma refno 520444832884. u call 1800111109. sbi,2025-07-23,900.0,debited,sidarth sharma,-900.0,2025,7,23,520444832884,Personal & Others
"dear sbi user, ac x5904credited rs.20 29jul25 transfer google india digital services pvt ltd ref 300930472105 sbi",2025-07-29,20.0,credited,google india digital services pvt ltd,20.0,2025,7,29,300930472105,Bills & Utilities
"dear sbi user, ac x5904credited rs.700 29jul25 transfer shivam choudhary ref 521064388958 sbi",2025-07-29,700.0,credited,shivam choudhary,700.0,2025,7,29,521064388958,Personal & Others
"dear sbi user, ac x5904credited rs.30 31jul25 transfer pranav sharma ref 521230915626 sbi",2025-07-29,30.0,credited,pranav sharma,30.0,2025,7,29,521230915626,Personal & Others
dear upi user ac x5904 debited 1048.0 date 31jul25 trf kanan verma refno 521239310919. u call 1800111109. sbi,2025-07-31,1048.0,debited,kanan verma,-1048.0,2025,7,31,521239310919,Personal & Others
dear upi user ac x5904 debited 85.0 date 27jul25 trf food court refno 520884630374. u call 1800111109. sbi,2025-07-31,85.0,debited,food court,-85.0,2025,7,31,520884630374,Food & Dining
"dear sbi user, ac x5904credited rs.100 23jul25 transfer ishani verma ref 869017163974 sbi",2025-07-23,100.0,credited,ishani verma,100.0,2025,7,23,869017163974,Personal & Others
dear upi user ac x5904 debited 320.0 date 15jul25 trf suraj sharma refno 519616648663. u call 1800111109. sbi,2025-07-15,320.0,debited,suraj sharma,-320.0,2025,7,15,519616648663,Personal & Others
dear upi user ac x5904 debited 20.0 date 14jul25 trf sunil kumar refno 519568000293. u call 1800111109. sbi,2025-07-14,20.0,debited,sunil kumar,-20.0,2025,7,14,519568000293,Personal & Others
"dear sbi user, ac x5904credited rs.15 10jul25 transfer shivam choudhary ref 555744732986 sbi",2025-10-07,15.0,credited,shivam choudhary,15.0,2025,10,7,555744732986,Personal & Others
